name,slug,category,auth,https,cors,description,docsUrl,baseUrl,pricing
Open Library,open-library,Books,No,true,true,Access millions of books from the Internet Archive Open Library,https://openlibrary.org/developers/api,https://openlibrary.org/api,Free unlimited
FunTranslations,funtranslations,Language,apiKey,true,true,Translate text into Yoda-speak Klingon Pig Latin and more,https://funtranslations.com/api,https://api.funtranslations.com/translate,Free: 5 calls/hour
TheAudioDB,theaudiodb,Entertainment,apiKey,true,true,Music metadata including albums artists and music videos,https://www.theaudiodb.com/api_guide.php,https://www.theaudiodb.com/api/v1/json,Free tier available
JokeAPI,jokeapi,Entertainment,No,true,true,Jokes API supporting multiple categories and filters,https://v2.jokeapi.dev,https://v2.jokeapi.dev/joke,Free unlimited
CoinCap,coincap,Finance,No,true,true,Real-time cryptocurrency prices and market data,https://docs.coincap.io,https://api.coincap.io/v2,Free unlimited
IP Geolocation,ip-geolocation,Geography,apiKey,true,true,Accurate IP address geolocation with timezone and currency,https://ipgeolocation.io/documentation.html,https://api.ipgeolocation.io,Free: 1000 req/day
NewsData.io,newsdataio,News,apiKey,true,true,Real-time and historical news data from 190 countries,https://newsdata.io/documentation,https://newsdata.io/api/1,Free: 200 req/day
TheMealDB,themealdb,Food,apiKey,true,true,Meal recipes database with images and video links,https://www.themealdb.com/api.php,https://www.themealdb.com/api/json/v1/1,Free with API key
Open Food Facts,open-food-facts,Food,No,true,true,Open database of food products from around the world,https://wiki.openfoodfacts.org/API,https://world.openfoodfacts.org/api/v0,Free unlimited
AviationStack,aviationstack,Travel,apiKey,true,true,Real-time flight status routes and global aviation data,https://aviationstack.com/documentation,https://api.aviationstack.com/v1,Free: 1000 req/month
